  SDMA (EIA)                                          3                         0 - 14       µg/dl                                      4),5)
  Creatinine                                          88                        44 - 133     umol/l                                     4)
   CRP (C-reactive protein)                               1.9                      0 - 10.7      mg/l                                        4)
