SDMA (EIA),3,0,14,μg/dl
Creatinine,88,44,133,umol/l
Urea (BUN),5.0,3.2,10.3,mmol/l
Sodium,148,142,153,mmol/l
Chloride,110,106,120,mmol/l
Potassium,5.8,3.9,5.8,mmol/l
Inorganic Phosphate,1.3,0.9,1.7,mmol/l
Total Bilirubin,5.1,0,6.8,umol/l
ALT (GPT),34,25,122,U/l
Alkaline phosphatase,52,14,147,U/l
GGT,4,2,13,U/l
AST (GOT),89,14,59,U/l
GLDH,4,1,18,U/l
Total protein,68,54,76,g/l
Albumin,36,28,43,g/l
Globulin,32,24,43,g/l
a-Amylase,499,333,1264,U/l
Lipase,108,0,250,U/l
Cholesterol,5.1,3.6,10.3,mmol/l
Fructosamine,267,177,314,umol/l
CK,991,41,378,U/l
Calcium,2.7,2.1,2.9,mmol/l
Magnesium,0.9,0.7,1.1,mmol/l
Triglycerides,0.9,0.3,5.3,mmol/l
CRP (C-reactive protein),1.9,0,10.7,mg/l
