analyte,value,unit,min,max,class
glucose_mmol_L,4.39,mmol/L,4.11,7.94,NORMAL
sdma_ug_dL,10.0,ug/dL,0,14,NORMAL
creatinine_umol_L,132.6,umol/L,44,141,NORMAL
urea_mmol_L,4.64,mmol/L,2.5,9.6,NORMAL
phosphorus_mmol_L,1.3,mmol/L,0.81,2.19,NORMAL
calcium_mmol_L,2.7,mmol/L,1.98,3.00,NORMAL
magnesium_mmol_L,0.8,mmol/L,0.58,0.99,NORMAL
sodium_mmol_L,151.0,mmol/L,144,160,NORMAL
potassium_mmol_L,5.0,mmol/L,3.5,5.8,NORMAL
chloride_mmol_L,113.0,mmol/L,109,122,NORMAL
total_protein_g_L,68.0,g/L,52,82,NORMAL
albumin_g_L,30.0,g/L,23,40,NORMAL
globulin_g_L,38.0,g/L,25,45,NORMAL
alt_U_L,21.0,U/L,10,125,NORMAL
ast_U_L,33.0,U/L,0,50,NORMAL
alp_U_L,98.0,U/L,23,212,NORMAL
ggt_U_L,3.0,U/L,0,11,NORMAL
gldh_U_L,3.0,U/L,1,18,NORMAL
bilirubin_total_umol_L,5.13,umol/L,0,15,NORMAL
cholesterol_mmol_L,9.98,mmol/L,2.84,8.27,HIGH
triglycerides_mmol_L,0.86,mmol/L,0.11,1.13,NORMAL
amylase_U_L,649.0,U/L,500,1500,NORMAL
lipase_U_L,113.0,U/L,200,1800,LOW
ck_U_L,146.0,U/L,10,200,NORMAL
fructosamine_umol_L,317.0,umol/L,177,314,HIGH
crp_mg_L,7.0,mg/L,0,10,NORMAL
